economy,Country,year,gdp_per_capita,gdp_growth,fdi_inflows,unemployment,poverty_headcount,gini_index,life_expectancy,infant_mortality,hospital_beds,population,literacy_rate,school_enrolment_primary,school_enrolment_secondary,education_expenditure,electricity_access,renewable_energy,forest_area,clean_water_access,female_labour,female_literacy,women_parliament,maternal_mortality,gender_parity,internet_users,sub_region
ARM,Armenia,YR2015,3512.39350276709,3.19999999896625,1.74473701796819,18.261,2.9,32.4,74.8707317073171,12.8,4.29,3004600.0,,93.088059144009,86.442138671875,2.80591011047363,100.0,10.7,11.5742887249737,99.2198934316356,53.826,,10.6870229007634,25.0,1.03798997402191,59.1008,West Asia
ARM,Armenia,YR2016,3524.42476874707,0.199999999825991,3.16536727816995,17.617,2.5,32.5,74.8682926829268,12.2,4.28,2992300.0,99.7399978637695,93.1108003536782,,2.75812005996704,99.8,13.2,11.5669125395153,99.3200449240504,53.881,99.6900024414062,10.6870229007634,25.0,,64.346,West Asia
ARM,Armenia,YR2017,3869.05373867752,7.50000000164144,2.19257337687685,17.704,2.4,33.6,75.2170731707317,11.7,4.27,2979400.0,99.7399978637695,93.0989957836376,,2.70759010314941,99.7,12.6,11.5595363540569,99.420451960465,53.766,99.6800003051758,18.0952380952381,24.0,,64.7449,West Asia
ARM,Armenia,YR2018,4196.00562301769,5.19999999965324,2.14204783415544,18.966,2.9,34.4,75.619512195122,11.2,4.18,2969000.0,,92.1345008167579,83.0249410833595,2.11331180512289,99.9,11.1,11.5521601685985,99.462639280417,53.631,,18.0952380952381,24.0,1.02283000946045,68.2451,West Asia
ARM,Armenia,YR2019,4597.22887399548,7.59999999853918,0.736345856475298,18.304,2.4,30.0,76.2219512195122,10.7,4.06,2962500.0,,92.3228240527597,86.8260633029699,2.15984239839771,100.0,10.3,11.5447839831401,99.4591789118501,50.799,,23.4848484848485,23.0,1.03489995002747,66.5439,West Asia
ARM,Armenia,YR2020,4268.68093304583,-7.19999999920631,0.463408850763634,18.175,1.5,25.1,73.3756097560976,10.2,4.45,2961500.0,99.7900009155273,92.8692618061259,88.5080298201293,2.70555996894836,100.0,8.4,11.6489422255448,99.4561137881716,54.317,99.7399978637695,23.4848484848485,43.0,1.03190994262695,76.5077,West Asia
ARM,Armenia,YR2021,4685.17997128509,5.80000000065645,2.64014282794454,15.469,2.1,27.9,72.2780487804878,9.7,4.43,2962300.0,,94.6392203828781,91.4853735120921,2.76784992218018,100.0,9.1,11.641626848728,99.4534764633698,55.118,,33.6448598130841,57.0,1.02129995822906,78.6123,West Asia
ARM,Armenia,YR2022,6571.97445545099,12.5999999997766,4.99991586140552,13.451,1.9,27.9,74.7658536585366,9.3,4.2,2969200.0,99.8199996948242,96.9454296559019,91.7106609922965,2.4918999671936,100.0,,11.6336717932132,99.9128544293373,50.24,99.9000015258789,35.5140186915888,27.0,,77.0277,West Asia
ARM,Armenia,YR2023,8159.08720967996,8.29999999959539,2.39959276465582,12.405,1.9,27.2,77.4658536585366,8.9,4.24,2964300.0,99.8399963378906,98.0899878191202,89.4111027634947,2.43869996070862,100.0,,11.6183158247114,99.9222036184019,51.517,99.9000015258789,35.5140186915888,19.0,,79.9966,West Asia
AZE,Azerbaijan,YR2000,655.097249579917,11.0999991434346,2.46437455007312,11.78,,,65.377,59.9,7.64,8048600.0,,97.2074890136719,,3.85399007797241,98.9,2.1,11.9510925488772,75.5627604174925,72.205,,,46.0,,0.147758,West Asia
